Disease Name,Reason for Being Affected,Symptoms,Recommended Solution,Recommended Fertilizer,
Corn Northern Leaf Blight,Fungal disease by Setosphaeria turcica; overwinters in corn residue. Favored by prolonged leaf wetness (>6 hr) and moderate temperatures (64–81°F):contentReference[oaicite:32]{index=32}.,"Long (1–6 inch) elliptical 'cigar-shaped' gray-green lesions on leaves that turn pale gray or tan; in severe cases, entire leaves may die:contentReference[oaicite:33]{index=33}.",Plant resistant corn hybrids and avoid continuous corn (rotate crops); tillage to reduce residue. Apply foliar fungicide early if lesions begin to coalesce.,Side-dress nitrogen fertilizer as needed for corn development.,
Grape Black Rot,"Fungal disease caused by Guignardia bidwellii, favored by warm (70–80°F), humid conditions and overhead moisture; overwinters in mummified fruit and canes:contentReference[oaicite:34]{index=34}.","Leaves: round tan lesions with dark brown edges; berries: initially brown and soft, later hard black shriveled 'mummies' with pycnidia:contentReference[oaicite:35]{index=35}. Shoots may have black lesions and girdle.","Sanitation: remove and destroy infected canes, leaves, and mummified berries (or bury them) to reduce inoculum:contentReference[oaicite:36]{index=36}. Apply protectant fungicides (e.g. sulfur/copper/mancozeb) from pre-bloom through 4–6 weeks post-bloom:contentReference[oaicite:37]{index=37}.","Apply balanced fertilizer (e.g., 10-10-10) in spring to maintain vine vigor.",
Grape Black Measles (Esca),Complex fungal disease (Esca) involving Phaeomoniella and Phaeoacremonium spp.; favored by vine wood wounds and stress:contentReference[oaicite:38]{index=38}.,"Small dark spots ('measles') on berries, often coalescing into black blisters; leaves may show interveinal 'tiger stripe' discoloration:contentReference[oaicite:39]{index=39}; can cause sudden vine collapse in severe cases.",No reliable chemical control. Remove and destroy infected fruit and vines; provide good vineyard sanitation and treat pruning wounds; plant resistant/rootstock if available.,Apply balanced fertilizer to maintain vine vigor (no specific disease control effect).,
Grape Leaf Blight (Isariopsis Leaf Spot),"Caused by the fungus Pseudocercospora vitis (formerly Isariopsis viticola); disease is favored by warm, humid late-season conditions:contentReference[oaicite:40]{index=40}.","Large, irregular angular leaf spots: initially dull red-brown, later turning black and brittle:contentReference[oaicite:41]{index=41}; minor defoliation may occur under severe infection.","Apply protective fungicides (e.g., copper, mancozeb) early in the season as for other grape diseases; remove infected leaves to reduce inoculum.",Use balanced fertilizer to ensure vine vigor (no direct effect on this disease).,
Grape (Healthy),No disease; vines are well managed.,"Vigorous canes with healthy leaves, and developing clusters without rot.",Prune and train vines for good air circulation; scout for pests and diseases.,"Apply balanced fertilizer (based on soil test) in early spring (e.g., ammonium nitrate or 10-10-10).",
Orange Huanglongbing (Citrus Greening),"Bacterial disease caused by Candidatus Liberibacter spp., spread by the Asian citrus psyllid insect; thrives in warm citrus regions:contentReference[oaicite:42]{index=42}.","Chlorotic leaf mottling (asymmetrical yellowing), twig dieback, and stunted, off-color fruit that remain green or develop bitter flavor:contentReference[oaicite:43]{index=43}; infected trees eventually decline and die.","No cure exists. Manage by controlling psyllid vectors (insecticides, traps) and removing infected trees to reduce spread. Use disease-free nursery stock and strict sanitation.","Intensive nutritional programs (e.g., zinc, iron, and nitrogen foliar sprays) can help maintain tree health but do not cure the disease.",
Peach Bacterial Spot,"Bacterial disease by Xanthomonas campestris pv. pruni; favored by warm, wet conditions and spread by rain, windblown sand and pruning wounds:contentReference[oaicite:44]{index=44}.","Leaves develop small dark spots (often clustered at leaf tips) with yellow halos:contentReference[oaicite:45]{index=45}. Fruit develop corky, pitted lesions that may crack and ooze gum:contentReference[oaicite:46]{index=46}.","Plant resistant cultivars and prune in dry weather. Apply fixed copper or bactericidal sprays (e.g., oxytetracycline) from delayed dormancy through shuck split:contentReference[oaicite:47]{index=47}. Sanitize tools and remove infected twigs.","Apply balanced fertilizer (e.g., 10-10-10) in spring to maintain tree health.",
Peach (Healthy),No disease; good orchard conditions.,Normal green leaves and healthy peach development.,Perform annual pruning and thinning; ensure adequate water.,"Apply balanced fertilizer (e.g., 10-10-10) in spring according to tree age.",
Bell Pepper Bacterial Spot,"Bacterial disease by Xanthomonas spp.; favored by warm, humid weather and overhead irrigation, which spreads bacteria on pepper leaves and fruit:contentReference[oaicite:48]{index=48}.","On leaves: water-soaked spots that turn tan-brown and coalesce, often causing yellowing and defoliation:contentReference[oaicite:49]{index=49}. On fruit: raised brown to black scabby lesions that render fruit unmarketable:contentReference[oaicite:50]{index=50}.","Plant resistant pepper varieties:contentReference[oaicite:51]{index=51} and avoid overhead watering. Apply bactericidal sprays (copper-based compounds plus mancozeb) at frequent intervals during warm, wet weather:contentReference[oaicite:52]{index=52}. Remove crop debris and rotate fields.","Balanced vegetable fertilization as per crop requirements (e.g., 5-10-10 before planting and side-dress N).",
Bell Pepper (Healthy),No disease; favorable growing conditions.,Green foliage and healthy fruit without spots.,"Use good soil, proper spacing, stake support, and monitor pests.","Apply balanced vegetable fertilizer (e.g., 10-10-10) at planting and side-dress as needed.",
Potato Early Blight,"Fungal disease by Alternaria solani; overwinters on potato debris and weeds. Infection favored by warm (above 80°F) and wet conditions (dew, irrigation):contentReference[oaicite:53]{index=53}.","Circular to irregular brown lesions on older leaves, often with concentric rings ('target spots'); severely infected leaves turn yellow and drop:contentReference[oaicite:54]{index=54}. Infected tubers develop brown, corky dry rot in soil.","Maintain vigorous, non-stressed plants through proper irrigation and fertilization:contentReference[oaicite:55]{index=55}; remove infected debris. Use later-maturing resistant varieties. Apply fungicides (e.g., chlorothalonil or strobilurins) at first sign of disease:contentReference[oaicite:56]{index=56}.",Apply balanced fertilizer (including adequate nitrogen) as recommended to promote strong foliage:contentReference[oaicite:57]{index=57}.,
Potato (Healthy),No disease; optimal tuber-growing conditions.,Healthy green vines and normal tuber development underground.,"Practice crop rotation and hilling; control insects (e.g., Colorado potato beetle).","Apply balanced fertilizer (e.g., 5-10-10) at planting to promote tuber growth.",
Potato Late Blight,"Oomycete pathogen Phytophthora infestans; spreads via infected seed tubers, volunteers, and cull piles. Favored by cool, wet conditions (50–78°F, >90% humidity):contentReference[oaicite:58]{index=58}.","On leaves: irregular water-soaked green lesions that rapidly turn brown to black, often with white downy growth on undersides in humid conditions:contentReference[oaicite:59]{index=59}. Stems show brown-black lesions; tubers develop firm brown decay under the skin.",Use certified seed and remove volunteer plants/cull piles to reduce inoculum. Provide good air circulation (avoid overhead irrigation at night). Apply protective fungicides preventively and at 7–10 day intervals during high risk periods:contentReference[oaicite:60]{index=60}:contentReference[oaicite:61]{index=61}.,"Maintain balanced soil fertility (e.g., N-P-K as per soil test) to encourage rapid canopy development and reduce stress.",
Raspberry (Healthy),No disease; plants are well cared for.,Healthy canes and leaves with normal berry production.,Prune properly after harvest; remove old canes.,"Apply balanced fertilizer (e.g., 10-10-10) after fruiting.",
Soybean (Healthy),No disease; fields are managed well.,Healthy trifoliate leaves and pod set with no lesions.,Rotate crops and inoculate seeds; manage weeds.,Legumes fix N; apply phosphorus and potassium based on soil test.,
Squash Powdery Mildew,"Fungal disease (primarily Podosphaera xanthii) favored by warm (68–81°F), humid conditions; spores spread by wind later in season:contentReference[oaicite:62]{index=62}.","White powdery fungal growth on upper and lower leaf surfaces, expanding into large patches:contentReference[oaicite:63]{index=63}. Heavily infected leaves yellow and wither; plants weaken, producing fewer/smaller fruit:contentReference[oaicite:64]{index=64}.","Plant resistant cucumber/squash varieties; ensure good air circulation (space plants, stake vines). Apply fungicides (sulfur or specific mildew fungicides) at first signs of infection if necessary:contentReference[oaicite:65]{index=65}.",Maintain balanced fertilization (avoid excessive nitrogen); healthy plants resist disease better.,
Strawberry (Healthy),No disease; optimal conditions.,Green foliage and healthy fruit without spots.,Use clean planting stock; rotate beds and control weeds.,"Apply balanced fertilizer (e.g., 8-10-10) after fruiting.",
Strawberry Leaf Scorch,"Fungal disease by Diplocarpon earlianum (teleomorph) / Marssonina fragariae (anamorph); favored by warm, wet conditions (68–86°F) with leaf wetness:contentReference[oaicite:66]{index=66}.","Leaves with irregular dark purple spots with black centers; spots may coalesce, turning the leaf tissue between spots red-purple. Severely infected leaves turn brown, dry, and curl at edges:contentReference[oaicite:67]{index=67}; petioles develop sunken lesions.","Use resistant varieties and plant in sunny, well-drained areas:contentReference[oaicite:68]{index=68}. Ensure good airflow (space plants, remove weeds) and avoid overhead irrigation at night:contentReference[oaicite:69]{index=69}. Remove and destroy infected foliage after harvest. Fungicides at flowering or after renovation can reduce disease pressure.","Apply balanced fertilizer and avoid excessive nitrogen, which can increase disease severity:contentReference[oaicite:70]{index=70}.",
Tomato Bacterial Spot,"Bacterial disease by Xanthomonas campestris pv. vesicatoria, seedborne and also in debris/volunteers. Spread by rain/splashes and warm, humid weather:contentReference[oaicite:71]{index=71}.","Small water-soaked spots on leaves turning dark brown/black (often merging); on young fruit: slightly sunken spots that enlarge, turn brown and scabby:contentReference[oaicite:72]{index=72}.",Use certified disease-free seed and transplants; rotate crops and remove cull piles. Avoid overhead irrigation and wetting foliage. Begin protective copper sprays early and repeat every 10–14 days under favorable conditions:contentReference[oaicite:73]{index=73} (combine with mancozeb to overcome copper resistance).,Maintain balanced fertilization to promote vigorous growth.,
Tomato Early Blight,Fungal disease by Alternaria solani; spores spread by wind and rain splash and require moisture and moderate temperatures to infect:contentReference[oaicite:74]{index=74}.,On lower leaves first: black or brown circular spots (1 cm) with concentric rings; lesions can coalesce causing leaf yellowing. Fruit develop sunken brown spots with target-like rings:contentReference[oaicite:75]{index=75}.,"Avoid overhead irrigation and remove lower infected leaves. Rotate crops and mulch to reduce soil splash. Apply protectant fungicides (e.g., copper, chlorothalonil) at first sign of spots, repeating every 7–10 days during humid weather:contentReference[oaicite:76]{index=76}.",Maintain balanced nutrition; avoid excessive nitrogen which can increase susceptibility.,
Tomato Late Blight,"Oomycete Phytophthora infestans, like in potatoes; spread by spores from infected potatoes/tomatoes and favored by cool, humid conditions (60–78°F, >90% RH):contentReference[oaicite:77]{index=77}.","Watersoaked green spots on leaves rapidly enlarge to purplish-brown, greasy lesions; white fungal growth often visible on undersides. Stems blacken at lesions. Fruit develop firm brown rot on shoulders:contentReference[oaicite:78]{index=78}.","Plant resistant tomato cultivars if available. Eliminate volunteer solanaceous hosts (tomato, potato, nightshade). Avoid overhead watering. Apply protectant fungicides (e.g., chlorothalonil or copper) preventatively when conditions favor late blight:contentReference[oaicite:79]{index=79}.",Maintain balanced N-P-K fertilization to support healthy foliage.,
Tomato Leaf Mold,"Fungal disease caused by Passalora fulva (formerly Fulvia fulva); thrives in humid (>85% RH), warm greenhouse/high tunnel conditions:contentReference[oaicite:80]{index=80}.",Yellowish spots on upper leaf surfaces and olive-green velvety mold on undersides; leaves eventually turn brown and die:contentReference[oaicite:81]{index=81}. Infected blossoms turn black; fruit shoulder can develop sunken black leathery areas.,"Use drip irrigation and ensure good ventilation (fans, vents) to reduce humidity:contentReference[oaicite:82]{index=82}. Space and prune plants to improve air flow. Remove and destroy infected foliage. Apply appropriate fungicides (multiple modes of action) preventively.",Maintain balanced nutrient levels to promote healthy foliage (no specific fertilizer effect on mold).,
Tomato Septoria Leaf Spot,"Fungal disease by Septoria lycopersici; survives in plant debris. Thrives when lower leaf canopy is dense (high humidity, long leaf wetness):contentReference[oaicite:83]{index=83}.","On lower leaves: small (¼ inch) round spots with grayish-white centers and dark brown borders:contentReference[oaicite:84]{index=84}. Spots enlarge and coalesce, causing yellowing and leaf drop from the bottom up.","Remove and destroy affected leaves or entire plants to improve air flow. Avoid overhead irrigation and space plants to reduce humidity. Apply protective fungicides (e.g., chlorothalonil or copper) before symptoms, repeating regularly:contentReference[oaicite:85]{index=85}.",Maintain balanced fertility; avoid excessive nitrogen to limit lush growth that favors disease.,
Tomato Two Spotted Spider Mite,"Pest (arachnid) Tetranychus urticae thrives in hot, dry conditions; outbreaks are aggravated by excess nitrogen fertilization:contentReference[oaicite:86]{index=86}:contentReference[oaicite:87]{index=87}.",Leaves develop fine pale stippling or bronze discoloration as mites suck chlorophyll; heavy infestations produce fine webbing. Severely infested leaves become yellow or reddish-brown and drop:contentReference[oaicite:88]{index=88}.,"Use miticides or insecticidal soaps/acaricides (e.g., abamectin, bifenazate) according to label; target undersides of leaves. Introduce or conserve predatory mites (e.g., Phytoseiulus persimilis). Avoid broad-spectrum insecticides. Increase humidity (overhead irrigation) can help suppress mites:contentReference[oaicite:89]{index=89}:contentReference[oaicite:90]{index=90}.",Avoid excessive nitrogen fertilization; maintain balanced N-P-K levels.,
Tomato Target Spot,Fungal disease by Corynespora cassiicola; favored by moderate warm temperatures (70–80°F) and overhead moisture:contentReference[oaicite:91]{index=91}.,Small tan to light brown spots with dark margins appear on inner foliage; lesions coalesce leading to defoliation ('melting out'). Fruit develop small brown sunken flecks that enlarge into large pitted areas:contentReference[oaicite:92]{index=92}.,"Sanitation: remove/destroy crop debris and weeds (alternate hosts). Avoid excessive nitrogen fertilization to prevent lush growth. Fungicide: apply protectant sprays (chlorothalonil/mancozeb) preventively; systemic fungicides (strobilurins, famoxadone) improve control as needed.","Avoid over-fertilizing with nitrogen; maintain balanced nutrition (e.g., N-P-K as per soil test) to reduce lush foliage development.",
Tomato Mosaic Virus,"Viral disease (ToMV, a tobamovirus) that can be introduced on infected seed, transplants, or through contaminated tools/hands; spread is facilitated by handling plants and also by thrips/aphids:contentReference[oaicite:94]{index=94}.","Mottled light and dark green leaf pattern, often with distortion or stunting; older leaves may show necrotic patches. Fruit may have irregular raised or sunken discolored spots ('mosaic') and uneven ripening:contentReference[oaicite:95]{index=95}.","Use resistant (Tobamovirus-resistant) tomato cultivars:contentReference[oaicite:96]{index=96}. Remove and destroy infected plants. Practice strict sanitation: disinfect tools, wash hands, and avoid tobacco use near plants. Rotate crops and use virus-free seed/transplants.",Maintain balanced soil fertility; healthy plants may better tolerate virus infection.,
Tomato Yellow Leaf Curl Virus,Viral disease spread by the whitefly (Bemisia tabaci) feeding on plants; no cure once infected:contentReference[oaicite:97]{index=97}.,Young leaves show interveinal yellowing and upward curling; overall plant is stunted and bushy with short internodes:contentReference[oaicite:98]{index=98}. Flower drop and severe yield loss occur in infected plants.,"Plant TYLCV-resistant varieties (multiple cultivars available). Control whiteflies with insecticides and physical barriers: use reflective mulches, UV-blocking screens, and remove infected plants promptly:contentReference[oaicite:99]{index=99}:contentReference[oaicite:100]{index=100}.",Maintain balanced nutrition; avoid excess nitrogen which may exacerbate foliage lushness.,
Tomato (Healthy),No disease; plant is healthy under good care.,Unblemished leaves and normal tomato growth.,"Provide support (stakes), regulate watering, and monitor for pests and diseases.","Apply balanced fertilizer (e.g., 5-10-10 at planting, side-dress 10-10-10 midseason) for vigorous growth.",
